date,model_daily_return,spy_daily_return,model_nav,spy_nav
2023-01-03,-0.01031987175639815,-0.009235860858198275,0.9896801282436019,0.9907641391418017
2023-01-04,0.02408732144345567,0.007720189025948843,1.013518871618806,0.9984130255761079
2023-01-05,5.080868548317733e-05,-0.011413395797773451,1.0135703671803853,0.9870177425455553
2023-01-06,0.01317342662752345,0.022932103899730993,1.0269225620442681,1.009652135968488
2023-01-09,0.001708883519798106,-0.0064298224684802285,1.0286774530866543,1.0031602519792888
2023-01-10,0.02279045685413042,0.007012843096556365,1.0521214821980425,1.0101952574271216
2023-01-11,0.007047129637430953,0.01264786371867066,1.0595359186774183,1.0229720693723072
2023-01-12,0.017395513924320236,0.003640782972808232,1.0779670905040888,1.0266964886641363
2023-01-13,0.004675895160733586,0.0038795056884117773,1.083007551606007,1.0306795635321813
2023-01-17,0.0046179302494715364,-0.0017818258208204263,1.0880088049389744,1.0288430720728876
2023-01-18,-0.019065705428728826,-0.015788015568668268,1.0672651495601446,1.0125996816332843
2023-01-19,-0.019250607666571565,-0.007279817254666643,1.0467196468897575,1.0052281409988604
2023-01-20,0.02436142993321763,0.018629039629190602,1.0722192342271846,1.0239545758739057
2023-01-23,0.019620604468720333,0.00985582690582354,1.0932568237257103,1.034046494933145
2023-01-24,-0.0014139120927979527,-0.0010732912426441032,1.0917110546821107,1.0329366618856464
2023-01-25,0.005250115367420491,0.000374797331107235,1.09744266366708,1.0333238037897239
2023-01-26,0.018560674572962742,0.010990368001509987,1.11781193980989,1.044680412658093
2023-01-27,0.007192650476521812,0.0022976965430050456,1.1258519703914254,1.0470807712308026
2023-01-30,-0.013225134392604313,-0.005486572795563416,1.1109624267768203,1.04133588635661
2023-01-31,0.017593343454861,0.014703349315466685,1.1305079703165508,1.0566470116484423
2023-02-01,0.01713060206057996,0.010627771821197785,1.1498742524823575,1.0678768149837925
2023-02-02,0.047257457127597206,0.014556989201620407,1.2042143856711705,1.0834218862481724
2023-02-03,-0.020084550520698515,-0.010629091340170427,1.180028281004406,1.0719060960593008
2023-02-06,-0.002158534499479132,9.755735013095013e-05,1.177481149249497,1.0720106683776216
2023-02-07,0.005806391181746782,0.013078632712971494,1.1843180654111722,1.0860311021737197
2023-02-08,-0.005768338637430578,-0.010934773280246946,1.177486517755454,1.0741555982961533
2023-02-09,-0.007917842853244768,-0.00866917718618343,1.1681633645460519,1.064843553088993
2023-02-10,-0.009812118753174792,0.0023336663037101246,1.1567012068900178,1.0673285426075598
2023-02-13,0.0008548868929777772,0.010055748040926238,1.1576900555908798,1.0780613295089105
2023-02-14,0.004911301213749581,-0.00046016987623753725,1.1633758201660491,1.077565238160334
2023-02-15,-6.72002223861438e-05,0.0032473737163669636,1.1632976410522153,1.0810644951924067
2023-02-16,-0.011328731200980031,-0.013768810222142602,1.1501189547700006,1.066179523320206
2023-02-17,-0.013000871117869971,-0.002498258589011204,1.1351664064688165,1.0635159311686435
2023-02-21,-0.011572015923540811,-0.00984965326440268,1.1220302427372908,1.053040668005464
2023-02-22,0.0020551487384066463,-0.0013781046831931043,1.1243361817751063,1.051589467729293
2023-02-23,0.007266919360643941,0.005319403502116682,1.1325066421423202,1.0571832964267212
2023-02-24,-0.007929098339829174,-0.01068237093839386,1.1235268856062641,1.0458900723044169
2023-02-27,-0.002483596953146018,-0.0053516996948775875,1.1207364976563947,1.04029278272359
2023-02-28,-0.005253006205345112,-0.0036959776232566854,1.114849261879649,1.0364478838770081
2023-03-01,-0.004935190339998102,-0.003835914535380569,1.1093472685718666,1.03247215837408
2023-03-02,0.008704385212023569,0.007777289862108905,1.1190034545314225,1.0405019936243123
2023-03-03,0.013442098792921799,0.016037819365946948,1.1340452095168547,1.0571893766479667
2023-03-06,-0.009788776560921983,-0.0014318888772862914,1.1229442943509103,1.0556755989383593
2023-03-07,-0.01799748731205944,-0.015328731891906533,1.1027341186611803,1.0394934307174053
2023-03-08,0.00044519510328555926,0.0016321199989792756,1.1032250504910341,1.0411900087344867
2023-03-09,-0.030900605259342843,-0.01844985365837981,1.0691347286935922,1.0219802054427682
2023-03-10,-0.03765518605375165,-0.01442944614289643,1.0288762615681077,1.0072335971092257
