year,start_date,end_date,trading_days,model_total_return,spy_total_return,excess_total_return
2020,2020-01-02,2020-12-31,253,0.012070302661481458,0.2823087787319065,-0.27023847607042506
2021,2021-01-04,2021-12-31,252,0.24310498942812697,0.22702415812022192,0.016080831307905052
2022,2022-01-03,2022-12-30,251,-0.22443523021332656,-0.10337679112899212,-0.12105843908433445
2023,2023-01-03,2023-12-29,250,0.19227207492512188,0.23346633599102273,-0.04119426106590085
2024,2024-01-02,2024-12-31,252,0.05450592484900385,0.21925992124195703,-0.16475399639295318
2025,2025-01-02,2025-12-31,250,0.07205457526893189,0.12255148506517632,-0.05049690979624444
2026,2026-01-02,2026-03-27,59,0.1774666521845647,-0.05250648819000203,0.22997314037456673
