date,run_timestamp,ticker,weight,side,model_name
2026-03-18,2026-03-18T23:43:22.205708,AKAM,0.0737494061210542,long,baseline
2026-03-18,2026-03-18T23:43:22.205708,APA,0.0737494061210542,long,baseline
2026-03-18,2026-03-18T23:29:37.278742,AR,0.0643943792050031,long,baseline
2026-03-18,2026-03-18T23:29:37.278742,CE,0.0643943792050031,long,baseline
2026-03-18,2026-03-18T23:43:22.205708,CF,0.0737494061210542,long,baseline
2026-03-18,2026-03-18T23:43:22.205708,COP,0.0737494061210542,long,baseline
2026-03-18,2026-03-18T23:43:22.205708,CRWD,0.0737494061210542,long,baseline
2026-03-18,2026-03-18T23:43:22.205708,CZR,0.0737494061210542,long,baseline
2026-03-18,2026-03-18T23:43:22.205708,DELL,0.0737494061210542,long,baseline
2026-03-18,2026-03-18T23:43:22.205708,DOW,0.0737494061210542,long,baseline
2026-03-18,2026-03-18T23:29:37.278742,EC,0.0643943792050031,long,baseline
2026-03-18,2026-03-18T23:29:37.278742,EFU,0.0643943792050031,long,baseline
2026-03-18,2026-03-18T23:29:37.278742,GTE,0.0643943792050031,long,baseline
2026-03-18,2026-03-18T23:43:22.205708,KR,0.0737494061210542,long,baseline
2026-03-18,2026-03-18T23:43:22.205708,LYB,0.0737494061210542,long,baseline
2026-03-18,2026-03-18T23:43:22.205708,MOS,0.0737494061210542,long,baseline
2026-03-18,2026-03-18T23:43:22.205708,MU,0.0737494061210542,long,baseline
2026-03-18,2026-03-18T23:29:37.278742,MUR,0.0643943792050031,long,baseline
2026-03-18,2026-03-18T23:43:22.205708,OXY,0.0737494061210542,long,baseline
2026-03-18,2026-03-18T23:43:22.205708,PSX,0.0737494061210542,long,baseline
2026-03-18,2026-03-18T23:29:37.278742,SNDK,0.0643943792050031,long,baseline
2026-03-18,2026-03-18T23:43:22.205708,VLO,0.0737494061210542,long,baseline
2026-03-19,2026-03-19T17:30:22.238638,ADM,0.0766317093628063,long,baseline
2026-03-19,2026-03-19T17:30:22.238638,AKAM,0.0766317093628063,long,baseline
2026-03-19,2026-03-19T17:30:22.238638,APA,0.0766317093628063,long,baseline
2026-03-19,2026-03-19T17:30:22.238638,COP,0.0766317093628063,long,baseline
2026-03-19,2026-03-19T17:30:22.238638,CRWD,0.0766317093628063,long,baseline
2026-03-19,2026-03-19T17:30:22.238638,CZR,0.0766317093628063,long,baseline
2026-03-19,2026-03-19T17:30:22.238638,DELL,0.0766317093628063,long,baseline
2026-03-19,2026-03-19T17:30:22.238638,DOW,0.0766317093628063,long,baseline
2026-03-19,2026-03-19T17:30:22.238638,KR,0.0766317093628063,long,baseline
2026-03-19,2026-03-19T17:30:22.238638,LYB,0.0766317093628063,long,baseline
2026-03-19,2026-03-19T17:30:22.238638,MOS,0.0766317093628063,long,baseline
2026-03-19,2026-03-19T17:30:22.238638,MU,0.0766317093628063,long,baseline
2026-03-19,2026-03-19T17:30:22.238638,OXY,0.0766317093628063,long,baseline
2026-03-19,2026-03-19T17:30:22.238638,PSX,0.0766317093628063,long,baseline
2026-03-19,2026-03-19T17:30:22.238638,VLO,0.0766317093628063,long,baseline
2026-03-20,2026-03-21T18:04:12.670317,AKAM,0.0737494003951095,long,baseline
2026-03-20,2026-03-21T18:04:12.670317,APA,0.0737494003951095,long,baseline
2026-03-20,2026-03-21T18:04:12.670317,CF,0.0737494003951095,long,baseline
2026-03-20,2026-03-21T18:04:12.670317,COP,0.0737494003951095,long,baseline
2026-03-20,2026-03-21T18:04:12.670317,CRWD,0.0737494003951095,long,baseline
2026-03-20,2026-03-21T18:04:12.670317,CZR,0.0737494003951095,long,baseline
2026-03-20,2026-03-21T18:04:12.670317,DELL,0.0737494003951095,long,baseline
2026-03-20,2026-03-21T18:04:12.670317,DOW,0.0737494003951095,long,baseline
2026-03-20,2026-03-21T18:04:12.670317,KR,0.0737494003951095,long,baseline
2026-03-20,2026-03-21T18:04:12.670317,LYB,0.0737494003951095,long,baseline
2026-03-20,2026-03-21T18:04:12.670317,MOS,0.0737494003951095,long,baseline
2026-03-20,2026-03-21T18:04:12.670317,MU,0.0737494003951095,long,baseline
2026-03-20,2026-03-21T18:04:12.670317,OXY,0.0737494003951095,long,baseline
2026-03-20,2026-03-21T18:04:12.670317,PSX,0.0737494003951095,long,baseline
2026-03-20,2026-03-21T18:04:12.670317,VLO,0.0737494003951095,long,baseline
2026-03-23,2026-03-23T17:30:18.093582,AKAM,0.066107736584812,long,baseline
2026-03-23,2026-03-23T17:30:18.093582,APA,0.066107736584812,long,baseline
2026-03-23,2026-03-23T17:30:18.093582,APO,0.066107736584812,long,baseline
2026-03-23,2026-03-23T17:30:18.093582,BKR,0.066107736584812,long,baseline
2026-03-23,2026-03-23T17:30:18.093582,CIEN,0.066107736584812,long,baseline
2026-03-23,2026-03-23T17:30:18.093582,COP,0.066107736584812,long,baseline
2026-03-23,2026-03-23T17:30:18.093582,CTRA,0.066107736584812,long,baseline
2026-03-23,2026-03-23T17:30:18.093582,DELL,0.066107736584812,long,baseline
2026-03-23,2026-03-23T17:30:18.093582,DVN,0.066107736584812,long,baseline
2026-03-23,2026-03-23T17:30:18.093582,FANG,0.066107736584812,long,baseline
2026-03-23,2026-03-23T17:30:18.093582,LYB,0.066107736584812,long,baseline
2026-03-23,2026-03-23T17:30:18.093582,OKE,0.066107736584812,long,baseline
2026-03-23,2026-03-23T17:30:18.093582,OXY,0.066107736584812,long,baseline
2026-03-23,2026-03-23T17:30:18.093582,SNDK,0.066107736584812,long,baseline
2026-03-23,2026-03-23T17:30:18.093582,VLO,0.066107736584812,long,baseline
2026-03-24,2026-03-24T23:50:53.730997,AKAM,0.0661077357869644,long,baseline
2026-03-24,2026-03-24T23:50:53.730997,APA,0.0661077357869644,long,baseline
2026-03-24,2026-03-24T23:50:53.730997,APO,0.0661077357869644,long,baseline
2026-03-24,2026-03-24T23:50:53.730997,BKR,0.0661077357869644,long,baseline
2026-03-24,2026-03-24T23:50:53.730997,CIEN,0.0661077357869644,long,baseline
2026-03-24,2026-03-24T23:50:53.730997,COP,0.0661077357869644,long,baseline
2026-03-24,2026-03-24T23:50:53.730997,CTRA,0.0661077357869644,long,baseline
2026-03-24,2026-03-24T23:50:53.730997,DELL,0.0661077357869644,long,baseline
2026-03-24,2026-03-24T23:50:53.730997,DVN,0.0661077357869644,long,baseline
2026-03-24,2026-03-24T23:50:53.730997,FANG,0.0661077357869644,long,baseline
2026-03-24,2026-03-24T23:50:53.730997,LYB,0.0661077357869644,long,baseline
2026-03-24,2026-03-24T23:50:53.730997,OKE,0.0661077357869644,long,baseline
2026-03-24,2026-03-24T23:50:53.730997,OXY,0.0661077357869644,long,baseline
2026-03-24,2026-03-24T23:50:53.730997,SNDK,0.0661077357869644,long,baseline
2026-03-24,2026-03-24T23:50:53.730997,VLO,0.0661077357869644,long,baseline
2026-03-25,2026-03-26T01:22:52.291422,AKAM,0.06610774096512,long,baseline
